system,body,product_key,indication_key,decision_date,outcome,arrangement_type,uncertainty-durability,cost-effectiveness,budget-impact,comparator-or-evidence,price,population-or-restriction,capacity-or-delivery,none stated,stated_reasons_verbatim,source_url
Italy,AIFA,kymriah,ALL_ped,2019-08-12,recommended-managed-access,outcomes-based,True,False,False,False,False,False,False,False,"Scheda innovatività (CTS gennaio 2019): 'In considerazione della rarità della malattia, si ritiene che a Kymriah possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove moderata. L'innovatività verrà rivalutata dopo un anno.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-08-12&atto.codiceRedazionale=19A05147
Italy,AIFA,kymriah,LBCL_3L,2019-08-12,recommended-managed-access,outcomes-based,False,False,False,False,True,False,False,False,"Scheda innovatività (CTS gennaio 2019): 'Data la rarità del DLBCL, si ritiene che a Kymriah possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove bassa. L'innovatività verrà rivalutata dopo un anno. Giudizio espresso a maggioranza, con il parere divergente di due componenti che non ritengono possibile riconoscere l'innovatività piena sulla base delle prove disponibili.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-08-12&atto.codiceRedazionale=19A05147
Italy,AIFA,kymriah,ALL_ped;LBCL_3L,2022-12-12,recommended-managed-access,outcomes-based,False,False,False,False,True,False,False,False,,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-12-12&atto.codiceRedazionale=22A06867
Italy,AIFA,kymriah,FL_3L,2023-08-08,recommended-restricted,confidential-discount,False,False,False,False,True,True,False,False,"Scheda innovatività (CTS giugno 2022): 'In considerazione del bisogno terapeutico moderato, del valore terapeutico aggiunto moderato e qualità delle evidenze molto bassa, non può essere riconosciuta a Kymriah® nell'indicazione richiesta l'innovatività.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-08-08&atto.codiceRedazionale=23A04400
Italy,AIFA,yescarta,LBCL_3L,2019-11-11,recommended-managed-access,outcomes-based,False,False,False,False,True,False,False,False,"Scheda innovatività (CTS gennaio 2019): 'Data la rarità del DLBCL/PMBCL, si ritiene che a Yescarta possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove moderata. L'innovatività verrà rivalutata dopo un anno. Giudizio espresso a maggioranza, con il parere divergente di due componenti che non ritengono possibile riconoscere l'innovatività piena sulla base delle prove disponibili.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-11-11&atto.codiceRedazionale=19A06932
Italy,AIFA,yescarta,LBCL_3L,2022-12-13,recommended-restricted,confidential-discount,False,False,False,False,True,False,False,False,,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-12-13&atto.codiceRedazionale=22A07030
Italy,AIFA,yescarta,LBCL_2L,2023-11-11,recommended-restricted,confidential-discount,False,False,False,False,True,False,False,False,"Scheda innovatività (CTS febbraio 2023): 'Dati i risultati del trial ZUMA-7 e l'unmet clinical need nel setting interessato dalla sperimentazione, si ritiene che a Yescarta possa essere riconosciuta una innovatività piena in questa indicazione in considerazione del 1) bisogno terapeutico moderato 2) valore terapeutico aggiunto importante 3) qualità delle evidenze moderata.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-11-11&atto.codiceRedazionale=23A06207
Italy,AIFA,yescarta,FL_4L,2023-11-11,recommended-restricted,confidential-discount,False,False,False,False,False,False,False,True,"Scheda innovatività (CTS marzo 2023): 'In considerazione del: 1) bisogno terapeutico moderato 2) valore terapeutico aggiunto moderato 3) qualità delle evidenze molto bassa, non può essere riconosciuta a Yescarta® nell'indicazione richiesta l'innovatività.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-11-11&atto.codiceRedazionale=23A06207
Italy,AIFA,tecartus,MCL_3L,2022-03-11,recommended-restricted,confidential-discount,False,False,False,False,True,True,False,False,"Scheda innovatività (CTS marzo 2021): 'Data la rarità del MCL, si ritiene che a Tecartus possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove molto bassa.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-03-11&atto.codiceRedazionale=22A01661
Italy,AIFA,tecartus,ALL_adult_26plus,2023-12-04,recommended-restricted,confidential-discount,False,False,False,False,False,False,False,True,"Scheda innovatività (CTS febbraio 2023): 'In considerazione del: 1) bisogno terapeutico moderato 2) valore terapeutico aggiunto moderato 3) qualità delle evidenze bassa, può essere riconosciuta a Tecartus® nell'indicazione richiesta l'innovatività condizionata.'",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-12-04&atto.codiceRedazionale=23A06556
