product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Roctavian,list_price,2023-06-29,US,2900000,USD per treatment,"Roctavian has a wholesale acquisition cost, or WAC, of $2.9 million for the average patient for this one-time, single-dose treatment.","DelveInsight, FDA Nods BioMarin's Roctavian, First Hemophilia A Gene Therapy (2023)",https://www.delveinsight.com/blog/biomarins-roctavian-first-hemophilia-a-gene-therapy,provisional-from-snippet,"BioMarin disclosed the $2.9 million WAC on FDA approval (2023-06-29) in its press release and investor call; the BioMarin press-release URL could not be located (404) and trade-press pages returned 403, so the figure is taken from a secondary source snippet. Not stated in the 8-K earnings releases or the 10-K Business sections read. Ex-US list prices (Germany about EUR 1.5 million, Italy) are confidential/net of outcomes-based agreements."
Roctavian,statement,2023-07-31,US,,,"Following FDA approval, the Company activated its U.S.-based salesforce and communicated that ROCTAVIAN is expected to be available for commercial use in August.","BioMarin 8-K Ex-99.1, BioMarin Announces Strong Second Quarter 2023 Results and Record Breaking Revenues for the First Half of 2023 (2023-07-31)",https://www.sec.gov/Archives/edgar/data/1048477/000104847723000026/earningsrelease-31jul23ex9.htm,verified-from-source,"Release also: people in Germany with severe hemophilia A, who are eligible for treatment with ROCTAVIAN, can access treatment through either Named Patient authorizations or previously secured Outcomes Based Agreements. FY2023 ROCTAVIAN guidance $50 to $150 million (unchanged at that date)."
Roctavian,patients_cumulative,2023-11-01,Germany,2,commercial patients treated,"Today in Germany, the second commercial patient was treated with ROCTAVIAN.","BioMarin 8-K Ex-99.1, BioMarin Announces Strong Third Quarter 2023 Results, Including Continued Profitability, and 15% Total Revenue Growth Year Over Year (2023-11-01)",https://www.sec.gov/Archives/edgar/data/1048477/000104847723000041/earningsrelease-01nov23ex9.htm,verified-from-source,"First commercial patient (Germany) treated in Q3 2023 (revenue $0.8M). Release also: In Germany, 60 people are eligible for next steps ahead of treatment with ROCTAVIAN based on CDx testing to determine seronegativity to AAV5."
Roctavian,statement,2023-11-01,US,205,million US covered lives with coverage policies,"At the end of the quarter, payers representing more than 205 million U.S. lives had published ROCTAVIAN coverage policies.","BioMarin 8-K Ex-99.1, BioMarin Announces Strong Third Quarter 2023 Results, Including Continued Profitability, and 15% Total Revenue Growth Year Over Year (2023-11-01)",https://www.sec.gov/Archives/edgar/data/1048477/000104847723000041/earningsrelease-01nov23ex9.htm,verified-from-source,Also: Warranty policies had been secured by payers representing more than 95 million lives. FY2023 ROCTAVIAN guidance cut to less than $10 million.
Roctavian,patients_period,2023-12-31,Total (worldwide),3,commercial patients treated in calendar 2023,"In 2023, three patients were treated with ROCTAVIAN, two in Germany and one in the U.S.","BioMarin 8-K Ex-99.1, BioMarin Reports Record Financial Results for the Fourth Quarter and Full-year 2023 and Provides Financial Guidance for 2024 (2024-02-22)",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000013/earningsrelease-22feb24ex9.htm,verified-from-source,"Cumulative commercial patients at 2023-12-31 = 3. FY2023 revenue $3.5M, i.e. about $1.2M recognised per patient (German outcomes-based cohort model defers part of the price)."
Roctavian,statement,2024-02-22,Italy,,,"In January, the Italian Medicines Agency approved reimbursement for ROCTAVIAN in severe hemophilia A.","BioMarin 8-K Ex-99.1, BioMarin Reports Record Financial Results for the Fourth Quarter and Full-year 2023 and Provides Financial Guidance for 2024 (2024-02-22)",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000013/earningsrelease-22feb24ex9.htm,verified-from-source,Third launch market after Germany and the US.
Roctavian,statement,2024-02-26,Germany,,,we have agreed with the German National Association of Statutory Health Insurance Funds an outcome-based prospective cohort model for ROCTAVIAN which will allow future reimbursement to be increased or decreased based on real-world data collected from the German Haemophilia Registry.,"BioMarin Form 10-K for fiscal 2023, Business section (filed 2024-02-26)",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000016/bmrn-20231231.htm,verified-from-source,Explains why German revenue per patient is below list and partly deferred.
Roctavian,patients_period,2024-04-30,Italy,1,first commercial patient treated in Italy,"In April, BioMarin treated the first patient in Italy with ROCTAVIAN following the January price approval by the Italian Medicines Agency.","BioMarin 8-K Ex-99.1, BioMarin Reports Record Financial Results for the First Quarter 2024 (2024-04-24)",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000066/earningsrelease-24apr24ex9.htm,verified-from-source,"Q1 2024 revenue $0.8M implies at least one additional patient (Germany or US) in Q1 2024, not itemised. Release: reimbursement and market access challenges continued to impact the ability of interested patients to receive ROCTAVIAN treatment."
Roctavian,patients_period,2024-06-30,Total (worldwide),5,commercial patients treated in Q2 2024,"During the quarter, BioMarin treated 3 patients in the U.S. and 2 in Italy, generating $7 million in revenue.","BioMarin 8-K Ex-99.1, BioMarin Announces 20% Y/Y Total Revenue Growth in the Second Quarter and Increase in Full-year 2024 Guidance (2024-08-05)",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000125/earningsrelease-05aug24ex9.htm,verified-from-source,"About $1.5M recognised per patient in the quarter (US WAC $2.9M less rebates/warranty accruals; Italian price lower). Cumulative commercial patients explicitly counted through 2024-06-30: 3 (2023) + 5 (Q2 2024) = 8, plus at least one unitemised Q1 2024 patient, i.e. at least 9 (analyst floor). Last explicit patient count found in BioMarin filings; later calls gave no numbers in the releases read."
Roctavian,statement,2024-08-05,Total (worldwide),60,USD million annual direct ROCTAVIAN expenses from 2025,"By focusing commercial, research and manufacturing programs in three prioritized countries, including the United States, Germany and Italy, BioMarin anticipates reducing annual direct ROCTAVIAN expenses to approximately $60 million, beginning in 2025.","BioMarin 8-K Ex-99.1, BioMarin Announces 20% Y/Y Total Revenue Growth in the Second Quarter and Increase in Full-year 2024 Guidance (2024-08-05)",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000125/earningsrelease-05aug24ex9.htm,verified-from-source,"Updated ROCTAVIAN strategy; withdrawal from other launch markets (e.g. France, Spain not pursued)."
