id,section,sentence,num,superlative,causal
C01,"Program halts in molecular precision medicine are dominated by sponsor-attributed business decisions, not scientific failure","# Program halts in molecular precision medicine are dominated by sponsor-attributed business decisions, not scientific failure ### A registry analysis of 14,061 clinical trials and 784 halted programs across 21 gene, editing, proteomic and precision-medicine technologies **Draft v2 — 2 September 2026.",True,False,False
C02,"A registry analysis of 14,061 clinical trials and 784 halted programs across 21 gene, editing, proteomic and precision-medicine technologies",gov (API v2) and PubMed records retrieved on that date.,True,False,False
C03,"A registry analysis of 14,061 clinical trials and 784 halted programs across 21 gene, editing, proteomic and precision-medicine technologies",Every number is traceable to a named column in the supplementary tables.,False,True,False
C04,Abstract,"Using 14,061 registry-filtered trial records across 21 technology subfamilies, and 673 distinct verbatim sponsor statements explaining why trials stopped, we find that funding, business and strategic decisions are cited in 242 of 784 halted trials against 40 citing safety or efficacy failure.",True,False,False
C05,Abstract,"That contrast is not uniform, and its structure is the paper's main result: **sponsor-attributed business discontinuation concentrates almost entirely in one cell — industry-sponsored therapeutic programs, at 66% (95/144), against 23–26% in the other three cells of the modality-by-sponsor table.",True,True,False
C06,Abstract,** Neither factor alone predicts it: among non-industry sponsors modality makes no difference (odds ratio 1.,True,False,False
C07,Abstract,41) and among diagnostics sponsor class makes none (1.,True,True,False
C08,Abstract,"27), but where both are present the effect is large — modality among industry sponsors gives OR 5.",True,False,False
C09,Abstract,54 (p = 6 × 10⁻⁹) and sponsor class within therapeutics OR 6.,True,False,False
C10,Abstract,"The effect is therefore a property of programs carried by a commercial sponsor making a portfolio decision, not of therapeutic biology.",False,False,True
C11,Abstract,"It is most visible in the earliest therapeutic modality to reach pivotal trials: AAV gene transfer, with 32 Phase 3 or later programs since 2003, has 18 of 25 halted trials citing business reasons and 2 citing science.",True,True,False
C12,Abstract,"Post-approval, gene therapies have been withdrawn from markets over reimbursement rather than safety — the only evidence in this study in which price and payers are directly documented.",False,True,False
C13,Abstract,"We report four negative results, including an independent behavioural instrument (sponsor exit from a platform) that does **not** corroborate the stated-reason finding, and we set out three structural limits: no stated reason names a payer or a price, the reason field observes only 30.",True,True,False
C14,Abstract,"6% of concluded Phase 2+ trials, and the headline ratio ranges from 1.",True,False,False
C15,Abstract,** Draft v1 framed the central finding as a therapeutic-versus-diagnostic contrast.,True,False,False
C16,Abstract,"Referee review established that this effect is absent among non-industry sponsors and is therefore an interaction with sponsor class, not a modality mechanism; that the analysis set contained 33 double-counted registrations; and that the business category cannot identify a payment mechanism because no stated reason names one.",True,False,True
C17,Abstract,"All three are corrected here, and the sponsor-exit analysis was added at referee request and returned a null.",False,True,False
C18,1. Introduction,"Of 5,601 registered trials in this dataset that reference artificial intelligence or machine learning, 46% address imaging or pathology and 9 — 0.",True,False,False
C19,1. Introduction,2% — address molecular or drug discovery (Supplementary Figure S1).,True,False,False
C20,1. Introduction,The measurement is possible because ClinicalTrials.,False,False,True
